Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,Sparsity
initial_conv,64,1024,3,3,5,32,1,0.4
darknet_s1_b1_conv1,64,1024,1,1,32,32,1,0.4
darknet_s1_b1_conv2,64,1024,3,3,32,64,1,0.4
darknet_s1_b1_residual,64,1024,1,1,32,64,1,0.4
darknet_s2_b1_conv1,32,512,1,1,64,64,2,0.4
darknet_s2_b1_conv2,32,512,3,3,64,128,1,0.4
darknet_s2_b1_residual,32,512,1,1,64,128,2,0.4
darknet_s2_b2_conv1,32,512,1,1,128,64,1,0.4
darknet_s2_b2_conv2,32,512,3,3,64,128,1,0.4
darknet_s3_b1_conv1,16,256,1,1,128,128,2,0.4
darknet_s3_b1_conv2,16,256,3,3,128,256,1,0.4
darknet_s3_b1_residual,16,256,1,1,128,256,2,0.4
darknet_s3_b2_conv1,16,256,1,1,256,128,1,0.4
darknet_s3_b2_conv2,16,256,3,3,128,256,1,0.4
darknet_s3_b3_conv1,16,256,1,1,256,128,1,0.4
darknet_s3_b3_conv2,16,256,3,3,128,256,1,0.4
darknet_s3_b4_conv1,16,256,1,1,256,128,1,0.4
darknet_s3_b4_conv2,16,256,3,3,128,256,1,0.4
darknet_s3_b5_conv1,16,256,1,1,256,128,1,0.4
darknet_s3_b5_conv2,16,256,3,3,128,256,1,0.4
darknet_s3_b6_conv1,16,256,1,1,256,128,1,0.4
darknet_s3_b6_conv2,16,256,3,3,128,256,1,0.4
darknet_s3_b7_conv1,16,256,1,1,256,128,1,0.4
darknet_s3_b7_conv2,16,256,3,3,128,256,1,0.4
darknet_s3_b8_conv1,16,256,1,1,256,128,1,0.4
darknet_s3_b8_conv2,16,256,3,3,128,256,1,0.4
darknet_s4_b1_conv1,8,128,1,1,256,256,2,0.4
darknet_s4_b1_conv2,8,128,3,3,256,512,1,0.4
darknet_s4_b1_residual,8,128,1,1,256,512,2,0.4
darknet_s4_b2_conv1,8,128,1,1,512,256,1,0.4
darknet_s4_b2_conv2,8,128,3,3,256,512,1,0.4
darknet_s4_b3_conv1,8,128,1,1,512,256,1,0.4
darknet_s4_b3_conv2,8,128,3,3,256,512,1,0.4
darknet_s4_b4_conv1,8,128,1,1,512,256,1,0.4
darknet_s4_b4_conv2,8,128,3,3,256,512,1,0.4
darknet_s4_b5_conv1,8,128,1,1,512,256,1,0.4
darknet_s4_b5_conv2,8,128,3,3,256,512,1,0.4
darknet_s4_b6_conv1,8,128,1,1,512,256,1,0.4
darknet_s4_b6_conv2,8,128,3,3,256,512,1,0.4
darknet_s4_b7_conv1,8,128,1,1,512,256,1,0.4
darknet_s4_b7_conv2,8,128,3,3,256,512,1,0.4
darknet_s4_b8_conv1,8,128,1,1,512,256,1,0.4
darknet_s4_b8_conv2,8,128,3,3,256,512,1,0.4
darknet_s5_b1_conv1,4,64,1,1,512,512,2,0.4
darknet_s5_b1_conv2,4,64,3,3,512,1024,1,0.4
darknet_s5_b1_residual,4,64,1,1,512,1024,2,0.4
darknet_s5_b2_conv1,4,64,1,1,1024,512,1,0.4
darknet_s5_b2_conv2,4,64,3,3,512,1024,1,0.4
darknet_s5_b3_conv1,4,64,1,1,1024,512,1,0.4
darknet_s5_b3_conv2,4,64,3,3,512,1024,1,0.4
darknet_s5_b4_conv1,4,64,1,1,1024,512,1,0.4
darknet_s5_b4_conv2,4,64,3,3,512,1024,1,0.4
decoder_s1_conv1,8,128,1,1,1024,256,1,0.4
decoder_s1_conv2,8,128,3,3,256,512,1,0.4
decoder_s2_conv1,16,256,1,1,512,128,1,0.4
decoder_s2_conv2,16,256,3,3,128,256,1,0.4
decoder_s3_conv1,32,512,1,1,256,64,1,0.4
decoder_s3_conv2,32,512,3,3,64,128,1,0.4
decoder_s4_conv1,64,1024,1,1,128,32,1,0.4
decoder_s4_conv2,64,1024,3,3,32,64,1,0.4
decoder_s5_conv1,128,2048,1,1,64,16,1,0.4
decoder_s5_conv2,128,2048,3,3,16,32,1,0.4
prediction_head,128,2048,3,3,32,20,1,0.4
