Layer,M,N,K,Active_Pairs,Bottleneck,GEMM_Time_ms,Gather_GEMM_Ratio,Gather_Time_ms,Kernel_Size,Num_MACs,Total_Time_ms
initial_features,500000,32,108,500000,memory_gather,0.0432,16.129032258064516,0.6967741935483871,3,1728000000,0.7399741935483871
encoder_stage_1_main,500000,64,864,500000,memory_gather,0.6912,8.064516129032258,5.574193548387097,3,27648000000,6.265393548387097
encoder_stage_1_residual,100000,64,32,100000,memory_gather,0.00512,8.064516129032258,0.04129032258064516,1,204800000,0.046410322580645154
encoder_stage_2_main,500000,128,1728,500000,memory_gather,2.7648,4.032258064516129,11.148387096774194,3,110592000000,13.913187096774193
encoder_stage_2_residual,100000,128,64,100000,memory_gather,0.02048,4.032258064516129,0.08258064516129032,1,819200000,0.1030606451612903
encoder_stage_3_main,500000,256,3456,500000,memory_gather,11.0592,2.0161290322580645,22.296774193548387,3,442368000000,33.35597419354839
encoder_stage_3_residual,100000,256,128,100000,memory_gather,0.08192,2.0161290322580645,0.16516129032258065,1,3276800000,0.24708129032258067
encoder_stage_4_main,500000,512,6912,500000,memory_gather,44.2368,1.0080645161290323,44.593548387096774,3,1769472000000,88.83034838709678
encoder_stage_4_residual,100000,512,256,100000,memory_gather,0.32768,1.0080645161290323,0.3303225806451613,1,13107200000,0.6580025806451613
decoder_stage_1_main,500000,256,13824,500000,memory_gather,44.2368,2.0161290322580645,89.18709677419355,3,1769472000000,133.42389677419357
decoder_stage_1_skip,100000,256,256,100000,memory_gather,0.16384,2.0161290322580645,0.3303225806451613,1,6553600000,0.49416258064516133
decoder_stage_2_main,500000,128,6912,500000,memory_gather,11.0592,4.032258064516129,44.593548387096774,3,442368000000,55.65274838709677
decoder_stage_2_skip,100000,128,128,100000,memory_gather,0.04096,4.032258064516129,0.16516129032258065,1,1638400000,0.2061212903225806
decoder_stage_3_main,500000,64,3456,500000,memory_gather,2.7648,8.064516129032258,22.296774193548387,3,110592000000,25.061574193548388
decoder_stage_3_skip,100000,64,64,100000,memory_gather,0.01024,8.064516129032258,0.08258064516129032,1,409600000,0.09282064516129031
decoder_stage_4_main,500000,32,1728,500000,memory_gather,0.6912,16.129032258064516,11.148387096774194,3,27648000000,11.839587096774194
decoder_stage_4_skip,100000,32,32,100000,memory_gather,0.00256,16.129032258064516,0.04129032258064516,1,102400000,0.04385032258064516
fusion_1,100000,64,32,100000,memory_gather,0.00512,8.064516129032258,0.04129032258064516,1,204800000,0.046410322580645154
fusion_2,100000,32,64,100000,memory_gather,0.00512,16.129032258064516,0.08258064516129032,1,204800000,0.08770064516129032
classification_head,100000,20,32,100000,memory_gather,0.0015999999999999999,25.806451612903224,0.04129032258064516,1,64000000,0.04289032258064516
