Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,Sparsity
conv1,64,512,3,3,5,64,2,0.4
conv1_skip,64,512,1,1,5,64,1,0.4
fire2_squeeze,16,128,1,1,64,16,1,0.4
fire2_expand1x1,16,128,1,1,16,64,1,0.4
fire2_expand3x3,16,128,3,3,16,64,1,0.4
fire3_squeeze,16,128,1,1,128,16,1,0.4
fire3_expand1x1,16,128,1,1,16,64,1,0.4
fire3_expand3x3,16,128,3,3,16,64,1,0.4
fire4_squeeze,8,64,1,1,128,32,1,0.4
fire4_expand1x1,8,64,1,1,32,128,1,0.4
fire4_expand3x3,8,64,3,3,32,128,1,0.4
fire5_squeeze,8,64,1,1,256,32,1,0.4
fire5_expand1x1,8,64,1,1,32,128,1,0.4
fire5_expand3x3,8,64,3,3,32,128,1,0.4
fire6_squeeze,4,32,1,1,256,48,1,0.4
fire6_expand1x1,4,32,1,1,48,192,1,0.4
fire6_expand3x3,4,32,3,3,48,192,1,0.4
fire7_squeeze,4,32,1,1,384,48,1,0.4
fire7_expand1x1,4,32,1,1,48,192,1,0.4
fire7_expand3x3,4,32,3,3,48,192,1,0.4
fire8_squeeze,4,32,1,1,384,64,1,0.4
fire8_expand1x1,4,32,1,1,64,256,1,0.4
fire8_expand3x3,4,32,3,3,64,256,1,0.4
fire9_squeeze,4,32,1,1,512,64,1,0.4
fire9_expand1x1,4,32,1,1,64,256,1,0.4
fire9_expand3x3,4,32,3,3,64,256,1,0.4
fire_deconv10_squeeze,4,32,1,1,512,64,1,0.4
fire_deconv10_expand1x1,8,64,1,1,64,128,1,0.4
fire_deconv10_expand3x3,8,64,3,3,64,128,1,0.4
fire_deconv11_squeeze,8,64,1,1,256,32,1,0.4
fire_deconv11_expand1x1,16,128,1,1,32,64,1,0.4
fire_deconv11_expand3x3,16,128,3,3,32,64,1,0.4
fire_deconv12_squeeze,16,128,1,1,128,16,1,0.4
fire_deconv12_expand1x1,32,256,1,1,16,32,1,0.4
fire_deconv12_expand3x3,32,256,3,3,16,32,1,0.4
fire_deconv13_squeeze,32,256,1,1,64,16,1,0.4
fire_deconv13_expand1x1,64,512,1,1,16,32,1,0.4
fire_deconv13_expand3x3,64,512,3,3,16,32,1,0.4
conv14_prob,64,512,3,3,64,20,1,0.4
