Layer,M,N,K,Active_Pairs,Bottleneck,GEMM_Time_ms,Gather_GEMM_Ratio,Gather_Time_ms,Kernel_Size,Num_MACs,Total_Time_ms
patchify_conv,1100000,48,256,1100000,memory_gather,0.33792,10.75268817204301,3.6335483870967744,4,13516800000,3.9714683870967744
patchify_expand,100000,96,48,100000,memory_gather,0.011519999999999999,5.376344086021506,0.06193548387096774,1,460800000,0.07345548387096774
stage_1_block_1_dw,6000000,96,343,6000000,memory_gather,4.9392000000000005,5.376344086021505,26.55483870967742,7,197568000000,31.494038709677415
stage_1_block_1_mlp_expand,100000,384,96,100000,memory_gather,0.09215999999999999,1.3440860215053765,0.12387096774193548,1,3686400000,0.2160309677419355
stage_1_block_1_mlp_contract,100000,96,384,100000,memory_gather,0.09215999999999999,5.376344086021506,0.49548387096774194,1,3686400000,0.587643870967742
stage_1_block_2_dw,6000000,96,343,6000000,memory_gather,4.9392000000000005,5.376344086021505,26.55483870967742,7,197568000000,31.494038709677415
stage_1_block_2_mlp_expand,100000,384,96,100000,memory_gather,0.09215999999999999,1.3440860215053765,0.12387096774193548,1,3686400000,0.2160309677419355
stage_1_block_2_mlp_contract,100000,96,384,100000,memory_gather,0.09215999999999999,5.376344086021506,0.49548387096774194,1,3686400000,0.587643870967742
stage_2_expand,100000,192,96,100000,memory_gather,0.046079999999999996,2.688172043010753,0.12387096774193548,1,1843200000,0.1699509677419355
stage_2_block_1_dw,6000000,192,343,6000000,memory_gather,9.878400000000001,2.6881720430107525,26.55483870967742,7,395136000000,36.43323870967742
stage_2_block_1_mlp_expand,100000,768,192,100000,compute_gemm,0.36863999999999997,0.6720430107526882,0.24774193548387097,1,14745600000,0.616381935483871
stage_2_block_1_mlp_contract,100000,192,768,100000,memory_gather,0.36863999999999997,2.688172043010753,0.9909677419354839,1,14745600000,1.359607741935484
stage_2_block_2_dw,6000000,192,343,6000000,memory_gather,9.878400000000001,2.6881720430107525,26.55483870967742,7,395136000000,36.43323870967742
stage_2_block_2_mlp_expand,100000,768,192,100000,compute_gemm,0.36863999999999997,0.6720430107526882,0.24774193548387097,1,14745600000,0.616381935483871
stage_2_block_2_mlp_contract,100000,192,768,100000,memory_gather,0.36863999999999997,2.688172043010753,0.9909677419354839,1,14745600000,1.359607741935484
stage_3_expand,100000,384,192,100000,memory_gather,0.18431999999999998,1.3440860215053765,0.24774193548387097,1,7372800000,0.432061935483871
stage_3_block_1_dw,6000000,384,343,6000000,memory_gather,19.756800000000002,1.3440860215053763,26.55483870967742,7,790272000000,46.31163870967742
stage_3_block_1_mlp_expand,100000,1536,384,100000,compute_gemm,1.4745599999999999,0.3360215053763441,0.49548387096774194,1,58982400000,1.970043870967742
stage_3_block_1_mlp_contract,100000,384,1536,100000,memory_gather,1.4745599999999999,1.3440860215053765,1.9819354838709677,1,58982400000,3.456495483870968
stage_3_block_2_dw,6000000,384,343,6000000,memory_gather,19.756800000000002,1.3440860215053763,26.55483870967742,7,790272000000,46.31163870967742
stage_3_block_2_mlp_expand,100000,1536,384,100000,compute_gemm,1.4745599999999999,0.3360215053763441,0.49548387096774194,1,58982400000,1.970043870967742
stage_3_block_2_mlp_contract,100000,384,1536,100000,memory_gather,1.4745599999999999,1.3440860215053765,1.9819354838709677,1,58982400000,3.456495483870968
stage_3_block_3_dw,6000000,384,343,6000000,memory_gather,19.756800000000002,1.3440860215053763,26.55483870967742,7,790272000000,46.31163870967742
stage_3_block_3_mlp_expand,100000,1536,384,100000,compute_gemm,1.4745599999999999,0.3360215053763441,0.49548387096774194,1,58982400000,1.970043870967742
stage_3_block_3_mlp_contract,100000,384,1536,100000,memory_gather,1.4745599999999999,1.3440860215053765,1.9819354838709677,1,58982400000,3.456495483870968
stage_3_block_4_dw,6000000,384,343,6000000,memory_gather,19.756800000000002,1.3440860215053763,26.55483870967742,7,790272000000,46.31163870967742
stage_3_block_4_mlp_expand,100000,1536,384,100000,compute_gemm,1.4745599999999999,0.3360215053763441,0.49548387096774194,1,58982400000,1.970043870967742
stage_3_block_4_mlp_contract,100000,384,1536,100000,memory_gather,1.4745599999999999,1.3440860215053765,1.9819354838709677,1,58982400000,3.456495483870968
stage_3_block_5_dw,6000000,384,343,6000000,memory_gather,19.756800000000002,1.3440860215053763,26.55483870967742,7,790272000000,46.31163870967742
stage_3_block_5_mlp_expand,100000,1536,384,100000,compute_gemm,1.4745599999999999,0.3360215053763441,0.49548387096774194,1,58982400000,1.970043870967742
stage_3_block_5_mlp_contract,100000,384,1536,100000,memory_gather,1.4745599999999999,1.3440860215053765,1.9819354838709677,1,58982400000,3.456495483870968
stage_3_block_6_dw,6000000,384,343,6000000,memory_gather,19.756800000000002,1.3440860215053763,26.55483870967742,7,790272000000,46.31163870967742
stage_3_block_6_mlp_expand,100000,1536,384,100000,compute_gemm,1.4745599999999999,0.3360215053763441,0.49548387096774194,1,58982400000,1.970043870967742
stage_3_block_6_mlp_contract,100000,384,1536,100000,memory_gather,1.4745599999999999,1.3440860215053765,1.9819354838709677,1,58982400000,3.456495483870968
stage_4_expand,100000,768,384,100000,compute_gemm,0.7372799999999999,0.6720430107526882,0.49548387096774194,1,29491200000,1.232763870967742
stage_4_block_1_dw,6000000,768,343,6000000,compute_gemm,39.513600000000004,0.6720430107526881,26.55483870967742,7,1580544000000,66.06843870967742
stage_4_block_1_mlp_expand,100000,3072,768,100000,compute_gemm,5.8982399999999995,0.16801075268817206,0.9909677419354839,1,235929600000,6.8892077419354845
stage_4_block_1_mlp_contract,100000,768,3072,100000,compute_gemm,5.8982399999999995,0.6720430107526882,3.9638709677419355,1,235929600000,9.862110967741936
stage_4_block_2_dw,6000000,768,343,6000000,compute_gemm,39.513600000000004,0.6720430107526881,26.55483870967742,7,1580544000000,66.06843870967742
stage_4_block_2_mlp_expand,100000,3072,768,100000,compute_gemm,5.8982399999999995,0.16801075268817206,0.9909677419354839,1,235929600000,6.8892077419354845
stage_4_block_2_mlp_contract,100000,768,3072,100000,compute_gemm,5.8982399999999995,0.6720430107526882,3.9638709677419355,1,235929600000,9.862110967741936
classification_head,100000,20,768,100000,memory_gather,0.0384,25.806451612903228,0.9909677419354839,1,1536000000,1.0293677419354839
